weight,wheelbase,MPG,height,type,
4044,111,29,66,SUV,
3905,105.5,27,64.1,SUV,
3543,105.1,32,62.9,SUV,
4287,112.7,25,67,SUV,
3465,107.3,30,65.4,SUV,
5220,116,22,74.4,SUV,
6500,119.8,25,70.9,SUV,
4032,111,27,67.4,SUV,
3300,99.2,29,65.1,SUV,
4124,112.2,28,68.3,SUV,
5443,122.5,24,76.6,SUV,
4629,112.8,22,70,SUV,
4637,117.9,22,68,SUV,
3956,112.5,25,66,SUV,
3801,107.3,26,65.4,SUV,
5482,116,23,74.4,SUV,
4035,105.6,28,64.9,SUV,
3875,106.6,29,66.2,SUV,
3327,103.8,30,64.8,SUV,
4190,106.9,28,68.3,SUV,
4001,102.8,30,63.2,SUV,
4343,104.9,25,63.6,SUV,
4575,106.2,28,65.4,SUV,
4586,105.1,25,64.8,SUV,
4464,107.3,27,65.4,SUV,
4299,106.7,30,66.1,SUV,
5622,117.3,22,70,SUV,
5335,109.4,25,66.3,SUV,
5830,112.2,24,68.1,SUV,
5110,111.2,23,67.8,SUV,
3449,105.1,33,67.5,SUV,
7300,122,17,77,SUV,
4222,117.3,26,70,SUV,
3858,109.8,29,66.3,SUV,
3874,106.4,33,65.3,SUV,
6239,113.9,23,66.7,SUV,
4099,110.5,23,63.9,SUV,
6001,113.8,27,71.6,SUV,
3157,104.9,33,63.6,SUV,
,,,,,
